Biograf;By;Forestillingstidspunkt;Filmtitel;Filmgenre;Filmvarighed;Filminstruktør;Premieredato;Bookingmail;Bookingtelefonnummer
Cinemaxx;Odense;20-4-3 09:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;20-1-10;djupedal@live.com;94816860
Cinemaxx;Odense;20-6-5 03:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;20-1-10;miltchev@yahoo.com;48560738
Cinemaxx;Odense;20-8-7 07:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;20-1-10;dmath@comcast.net;13877584
Cinemaxx;Århus;20-5-20 07:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;20-1-10;jkegl@verizon.net;79908480
Cinemaxx;Århus;20-1-10 09:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;20-1-10;speeves@aol.com;77161028
Nordisk Film;Odense;20-5-20 03:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;20-1-10;jbailie@outlook.com;91982260
Nordisk Film;Odense;20-8-7 07:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;20-1-10;cderoove@icloud.com;18406306
Nordisk Film;Odense;20-8-7 07:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;20-1-10;flavell@gmail.com;45352069
Nordisk Film;Munkebo;20-5-20 07:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;20-1-10;scato@icloud.com;71080278
Nordisk Film;Munkebo;20-1-10 09:00;1917;Drama, Thriller, War ;01:57;Sam Mendes;20-1-10;mallanmba@yahoo.ca;95597338
Cinemaxx;Odense;19-4-5 07:00;The Wife;Drama;01:39; Björn Runge;18-11-27;bwcarty@comcast.net;78603148
Cinemaxx;Odense;19-1-1 09:00;The Wife;Drama;01:39; Björn Runge;18-11-27;kramulous@yahoo.com;45373471
Cinemaxx;Odense;18-11-30 03:00;The Wife;Drama;01:39; Björn Runge;18-11-27;alias@aol.com;98447997
Cinemaxx;Århus;19-4-5 07:00;The Wife;Drama;01:39; Björn Runge;18-11-27;malattia@icloud.com;31439399
Cinemaxx;Århus;19-1-1 09:00;The Wife;Drama;01:39; Björn Runge;18-11-27;moxfulder@optonline.net;14559186
Nordisk Film;Odense;18-11-30 03:00;The Wife;Drama;01:39; Björn Runge;18-11-27;jamuir@comcast.net;23573418
Nordisk Film;Odense;19-2-12 09:00;The Wife;Drama;01:39; Björn Runge;18-11-27;heckerman@gmail.com;17971024
Nordisk Film;Odense;18-12-12 09:00;The Wife;Drama;01:39; Björn Runge;18-11-27;dgriffith@msn.com;63024480
Nordisk Film;Munkebo;18-12-26 07:00;The Wife;Drama;01:39; Björn Runge;18-11-27;elflord@hotmail.com;80941308
Nordisk Film;Munkebo;19-5-2 03:00;The Wife;Drama;01:39; Björn Runge;18-11-27;bmorrow@comcast.net;40462260
Cinemaxx;Odense;19-12-1 07:00;Ayka;Drama;01:40;Sergei Dvortsevoy;19-11-7;durist@sbcglobal.net;72879172
Cinemaxx;Odense;19-12-1 07:00;Ayka;Drama;01:40;Sergei Dvortsevoy;19-11-7;demmel@hotmail.com;10650545
Cinemaxx;Odense;19-12-1 07:00;Ayka;Drama;01:40;Sergei Dvortsevoy;19-11-7;miltchev@me.com;85540697
Cinemaxx;Århus;19-11-15 09:00;Ayka;Drama;01:40;Sergei Dvortsevoy;19-11-7;eimear@icloud.com;23860147
Cinemaxx;Århus;19-11-15 09:00;Ayka;Drama;01:40;Sergei Dvortsevoy;19-11-7;gtaylor@mac.com;65236201
Nordisk Film;Odense;19-11-15 09:00;Ayka;Drama;01:40;Sergei Dvortsevoy;19-11-7;jusdisgi@yahoo.ca;56924579
Nordisk Film;Odense;19-11-15 09:00;Ayka;Drama;01:40;Sergei Dvortsevoy;19-11-7;fukuchi@live.com;39221607
Nordisk Film;Odense;19-12-23 03:00;Ayka;Drama;01:40;Sergei Dvortsevoy;19-11-7;paina@icloud.com;12428941
Nordisk Film;Munkebo;19-12-23 03:00;Ayka;Drama;01:40;Sergei Dvortsevoy;19-11-7;tjensen@yahoo.ca;71817409
Nordisk Film;Munkebo;19-12-23 03:00;Ayka;Drama;01:40;Sergei Dvortsevoy;19-11-7;muadip@sbcglobal.net;56800833
Cinemaxx;Odense;19-4-5 07:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;18-11-2;thowell@live.com;93755908
Cinemaxx;Odense;19-1-1 09:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;18-11-2;dbindel@mac.com;92059231
Cinemaxx;Odense;18-11-30 03:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;18-11-2;kassiesa@me.com;81876567
Cinemaxx;Århus;19-4-5 07:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;18-11-2;nichoj@me.com;40940316
Cinemaxx;Århus;19-1-1 09:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;18-11-2;imightb@me.com;16706901
Nordisk Film;Odense;18-11-30 03:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;18-11-2;camenisch@yahoo.com;35024212
Nordisk Film;Odense;19-2-12 09:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;18-11-2;bulletin@yahoo.com;68533628
Nordisk Film;Odense;18-12-12 09:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;18-11-2;tedrlord@verizon.net;60351922
Nordisk Film;Munkebo;18-12-26 07:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;18-11-2;ngedmond@att.net;23716329
Nordisk Film;Munkebo;19-5-2 03:00;Bohemian Rhapsody;Biography, Drama, Music ;02:14;Bryan Singer;18-11-2;aglassis@gmail.com;40037990
Cinemaxx;Odense;17-12-25 07:00;Darkest Hour;Biography, Drama, History ;02:5;Joe Wright;17-12-22;ideguy@icloud.com;53029064
Cinemaxx;Odense;18-1-2 09:00;Darkest Hour;Biography, Drama, History ;02:5;Joe Wright;17-12-22;ngedmond@aol.com;57519890
Cinemaxx;Odense;18-1-3 09:00;Darkest Hour;Biography, Drama, History ;02:5;Joe Wright;17-12-22;khris@hotmail.com;33417420
Cinemaxx;Århus;17-12-25 07:00;Darkest Hour;Biography, Drama, History ;02:5;Joe Wright;17-12-22;scarlet@hotmail.com;19245648
Cinemaxx;Århus;18-2-5 03:00;Darkest Hour;Biography, Drama, History ;02:5;Joe Wright;17-12-22;gknauss@live.com;54080732
Nordisk Film;Odense;18-2-5 03:00;Darkest Hour;Biography, Drama, History ;02:5;Joe Wright;17-12-22;paina@verizon.net;21775017
Nordisk Film;Odense;17-12-25 07:00;Darkest Hour;Biography, Drama, History ;02:5;Joe Wright;17-12-22;fraser@live.com;69980814
Nordisk Film;Odense;18-2-5 03:00;Darkest Hour;Biography, Drama, History ;02:5;Joe Wright;17-12-22;hling@yahoo.com;79234643
Nordisk Film;Munkebo;17-12-25 07:00;Darkest Hour;Biography, Drama, History ;02:5;Joe Wright;17-12-22;pplinux@comcast.net;27899076
Nordisk Film;Munkebo;17-12-26 07:00;Darkest Hour;Biography, Drama, History ;02:5;Joe Wright;17-12-22;hampton@sbcglobal.net;78365253
Cinemaxx;Odense;19-12-1 07:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;19-4-12;ubergeeb@gmail.com;45782606
Cinemaxx;Odense;19-12-1 07:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;19-4-12;jmmuller@msn.com;70442232
Cinemaxx;Odense;19-12-1 07:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;19-4-12;thaljef@mac.com;49807733
Cinemaxx;Århus;19-11-15 09:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;19-4-12;pgolle@live.com;69593061
Cinemaxx;Århus;19-11-15 09:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;19-4-12;trygstad@optonline.net;32049093
Nordisk Film;Odense;19-11-15 09:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;19-4-12;monopole@verizon.net;17631511
Nordisk Film;Odense;19-11-15 09:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;19-4-12;parrt@att.net;85501560
Nordisk Film;Odense;19-12-23 03:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;19-4-12;errxn@icloud.com;77010215
Nordisk Film;Munkebo;19-12-23 03:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;19-4-12;ducasse@verizon.net;25666320
Nordisk Film;Munkebo;19-12-23 03:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;19-4-12;falcao@outlook.com;72691152
Cinemaxx;Odense;17-7-22 07:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;17-7-21;webinc@att.net;84961907
Cinemaxx;Odense;17-7-23 07:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;17-7-21;kenja@comcast.net;28751217
Cinemaxx;Odense;17-7-24 07:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;17-7-21;boftx@mac.com;59006266
Cinemaxx;Århus;17-7-25 07:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;17-7-21;formis@gmail.com;82613462
Cinemaxx;Århus;17-7-22 07:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;17-7-21;jfriedl@hotmail.com;72805770
Nordisk Film;Odense;17-7-23 07:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;17-7-21;houle@live.com;25078517
Nordisk Film;Odense;17-7-24 07:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;17-7-21;smcnabb@outlook.com;34872134
Nordisk Film;Odense;17-7-22 07:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;17-7-21;dleconte@me.com;80798088
Nordisk Film;Munkebo;17-7-23 07:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;17-7-21;daveed@yahoo.ca;66647808
Nordisk Film;Munkebo;17-7-24 07:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;17-7-21;luebke@yahoo.com;69383771
Cinemaxx;Odense;19-4-5 07:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;18-11-16;cliffski@comcast.net;84523603
Cinemaxx;Odense;19-1-1 09:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;18-11-16;flaviog@hotmail.com;61368923
Cinemaxx;Odense;18-11-30 03:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;18-11-16;thrymm@msn.com;13570508
Cinemaxx;Århus;19-4-5 07:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;18-11-16;osaru@mac.com;85983446
Cinemaxx;Århus;19-1-1 09:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;18-11-16;shaffei@optonline.net;47047274
Nordisk Film;Odense;18-11-30 03:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;18-11-16;khris@hotmail.com;77458806
Nordisk Film;Odense;19-2-12 09:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;18-11-16;wbarker@att.net;56644133
Nordisk Film;Odense;18-12-12 09:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;18-11-16;cameron@optonline.net;87268962
Nordisk Film;Munkebo;18-12-26 07:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;18-11-16;nanop@hotmail.com;90108943
Nordisk Film;Munkebo;19-5-2 03:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;18-11-16;timlinux@yahoo.ca;24409174
Cinemaxx;Odense;19-5-1 07:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;19-10-4;gospodin@optonline.net;98956772
Cinemaxx;Odense;19-5-1 07:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;19-10-4;kmiller@yahoo.com;69839959
Cinemaxx;Odense;19-5-1 07:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;19-10-4;leocharre@aol.com;54137588
Cinemaxx;Århus;19-4-30 09:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;19-10-4;agolomsh@yahoo.com;95055850
Cinemaxx;Århus;19-5-5 07:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;19-10-4;cumarana@optonline.net;37794677
Nordisk Film;Odense;19-5-1 07:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;19-10-4;shang@sbcglobal.net;73558072
Nordisk Film;Odense;19-5-29 09:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;19-10-4;rfisher@icloud.com;20680286
Nordisk Film;Odense;19-5-29 09:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;19-10-4;dimensio@optonline.net;71714594
Nordisk Film;Munkebo;19-5-29 09:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;19-10-4;gavinls@comcast.net;51718074
Nordisk Film;Munkebo;19-4-30 09:00;Joker;Crime, Drama, Thriller;02:2;Todd Phillips;19-10-4;mschwartz@live.com;71154222
Cinemaxx;Odense;19-5-1 07:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;19-10-4;yangyan@yahoo.com;41919090
Cinemaxx;Odense;19-5-1 07:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;19-10-4;tromey@msn.com;50946127
Cinemaxx;Odense;19-5-1 07:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;19-10-4;ramollin@hotmail.com;25423648
Cinemaxx;Århus;19-4-30 09:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;19-10-4;mrdvt@att.net;70305597
Cinemaxx;Århus;19-5-5 07:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;19-10-4;crypt@yahoo.com;66562566
Nordisk Film;Odense;19-5-1 07:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;19-10-4;penna@hotmail.com;88981434
